rancang,0,2,2
and,0,2,2
well,0,2,2
nanti,2,0,2
berapa,2,0,2
ngeri,2,0,2
proyek,2,0,2
lokal,2,0,2
gaji,1,1,2
respect,1,1,2
sidang,0,2,2
ngapain,1,1,2
siang,2,0,2
amat,1,1,2
ol,1,1,2
bagus,1,1,2
pegawai,1,1,2
korup,2,0,2
bahasa,0,2,2
bkn,1,1,2
tolong,1,1,2
kecil,1,1,2
gausah,1,1,2
gera,2,0,2
cilaka,2,0,2
pancing,1,1,2
keluarga,1,1,2
gedung,1,1,2
gapapa,2,0,2
perppu,2,0,2
tiada,1,1,2
maksimal,2,0,2
luka,2,0,2
dengan,2,0,2
diri,2,0,2
usah,2,0,2
guna,1,1,2
hasut,1,1,2
empati,1,1,2
alih,2,0,2
gaung,2,0,2
semangat,1,1,2
maya,2,0,2
nonton,1,1,2
sok,2,0,2
an,2,0,2
efektif,1,1,2
bebal,2,0,2
sifat,2,0,2
dana,2,0,2
jumlah,1,1,2
berani,2,0,2
ngomongin,2,0,2
sejarah,2,0,2
nurani,2,0,2
jarah,2,0,2
alam,2,0,2
hutang,2,0,2
nyari,1,1,2
bingung,2,0,2
turut,2,0,2
henti,1,1,2
terap,0,2,2
dpt,0,2,2
ujung,1,1,2
pancasila,2,0,2
outsourcing,1,1,2
bidang,1,1,2
pecat,0,2,2
meski,0,2,2
terimakasih,1,1,2
kasus,2,0,2
pilih,2,0,2
miskin,2,0,2
tendensi,0,2,2
malam,2,0,2
segala,2,0,2
palu,2,0,2
potong,0,2,2
mbak,2,0,2
opini,1,1,2
eropa,2,0,2
informatif,2,0,2
unjuk,2,0,2
nentang,2,0,2
politis,1,1,2
busuk,2,0,2
pks,2,0,2
demonstrasi,1,1,2
sahkan,1,1,2
kamu,0,2,2
endingnya,1,1,2
dapat,1,1,2
rubah,1,1,2
gugat,1,1,2
debat,1,1,2
puan,2,0,2
skrg,2,0,2
monggo,0,2,2
bpk,0,2,2
tempat,0,2,2
mah,1,1,2
tuntas,0,2,2
tunjuk,2,0,2
sbg,1,1,2
mmg,2,0,2
fatal,2,0,2
ente,1,1,2
minimal,2,0,2
covid,2,0,2
data,1,1,2
dikit,2,0,2
logika,1,1,2
dia,2,0,2
jgn,2,0,2
laut,2,0,2
gusur,2,0,2
segi,2,0,2
gua,1,1,2
kadang,1,1,2
murni,0,2,2
ngurus,0,2,2
perijinan,0,2,2
salut,0,2,2
tuding,1,1,2
sungguh,0,2,2
tuan,2,0,2
dokumen,1,1,2
selesampai,0,2,2
besok,1,1,2
informasi,0,2,2
imbang,0,2,2
tebar,1,1,2
dalang,1,1,2
sy,0,2,2
efek,2,0,2
manusia,2,0,2
wajib,2,0,2
sementara,2,0,2
ambil,2,0,2
benah,2,0,2
panjang,2,0,2
bunuh,2,0,2
kesal,2,0,2
ajak,2,0,2
ngobrol,1,1,2
hebat,2,0,2
putar,2,0,2
mohon,2,0,2
udh,0,2,2
mental,1,1,2
indo,1,1,2
emg,1,1,2
ngmg,1,1,2
dasar,2,0,2
cek,2,0,2
ruang,2,0,2
nah,1,1,2
pakai,2,0,2
penasaran,0,2,2
share,1,1,2
tinggi,0,2,2
mahfud,0,2,2
bahwa,1,1,2
demi,2,0,2
korporasi,1,1,2
lembaga,1,1,2
swasta,2,0,2
tanggung,1,1,2
adalah,1,1,2
rupa,2,0,2
cina,2,0,2
cari,0,2,2
emng,1,1,2
gada,0,2,2
alas,1,1,2
loh,0,2,2
dagang,0,2,2
he,1,1,2
yaa,1,1,2
serah,0,2,2
makmur,1,1,2
mogok,2,0,2
libat,1,1,2
keliru,2,0,2
masih,2,0,2
main,2,0,2
berat,2,0,2
berontak,2,0,2
jahat,2,0,2
jakarta,1,1,2
kemaren,1,1,2
tahan,1,1,2
diem,1,1,2
on,1,1,2
ketok,2,0,2
bu,1,1,2
remeh,2,0,2
hubung,2,0,2
kawasan,2,0,2
kalimantan,1,1,2
papua,1,1,2
sawit,2,0,2
teknis,1,1,2
sosialisasi,0,2,2
kepada,1,1,2
akun,1,1,2
bahaya,2,0,2
kami,2,0,2
layak,2,0,2
massa,2,0,2
wakil,2,0,2
solusi,2,0,2
usik,2,0,2
dn,2,0,2
jdi,2,0,2
andil,1,1,2
ingat,0,2,2
pajak,1,1,2
antara,1,1,2
pasar,2,0,2
syarat,2,0,2
medsos,2,0,2
paripurna,2,0,2
you,1,1,2
percuma,2,0,2
saudara,1,1,2
titip,2,0,2
taipan,2,0,2
agenda,1,1,2
lemah,1,1,2
ungkap,0,2,2
brutal,2,0,2
sistem,2,0,2
kapitalisme,2,0,2
hancur,2,0,2
sana,1,1,2
wujud,0,2,2
tlh,2,0,2
diam,2,0,2
jaman,2,0,2
dlm,2,0,2
kontroversi,1,1,2
yo,1,1,2
naskah,2,0,2
reformasi,0,2,2
joko,0,2,2
widodo,0,2,2
sederhana,2,0,2
cukup,1,1,2
putus,2,0,2
lolos,2,0,2
komunis,2,0,2
hitam,2,0,2
republik,2,0,2
dprd,2,0,2
waspada,2,0,2
ingin,1,1,2
aj,2,0,2
temen,1,0,1
kemarin,0,1,1
tunggu,1,0,1
kawan,0,1,1
cita,1,0,1
pressure,1,0,1
pakar,1,0,1
tata,1,0,1
oss,0,1,1
online,0,1,1
single,0,1,1
submission,0,1,1
klaster,1,0,1
oleh,1,0,1
substansial,1,0,1
adopsi,1,0,1
abai,1,0,1
anarkhis,0,1,1
berbulan,0,1,1
slm,0,1,1
tertib,0,1,1
kendala,0,1,1
kuhp,0,1,1
pion,0,1,1
rumput,0,1,1
re,0,1,1
pidana,1,0,1
bersihin,1,0,1
digital,1,0,1
disweeping,1,0,1
dikhianatin,1,0,1
mossi,1,0,1
thdp,1,0,1
dm,1,0,1
alloh,1,0,1
manhaj,1,0,1
dakwah,1,0,1
salaf,1,0,1
dipungkiri,1,0,1
jiwa,1,0,1
judicial,1,0,1
review,1,0,1
jka,1,0,1
stuju,1,0,1
pngesahan,1,0,1
jngan,1,0,1
dperalat,1,0,1
haus,1,0,1
kuas,1,0,1
mnghalalkan,1,0,1
barbar,1,0,1
mosi,1,0,1
politikus,0,1,1
parpolnya,0,1,1
elahhhhh,0,1,1
bgst,0,1,1
tai,0,1,1
ledik,0,1,1
idupnya,1,0,1
ken,1,0,1
jamet,1,0,1
kontol,1,0,1
gajelas,1,0,1
nge,1,0,1
kritik,1,0,1
delegitimasi,1,0,1
kelan,1,0,1
syalalala,0,1,1
post,1,0,1
bau,1,0,1
gamau,1,0,1
brp,1,0,1
kontak,1,0,1
dihp,1,0,1
mayoritas,1,0,1
speak,1,0,1
up,1,0,1
story,1,0,1
kemudian,1,0,1
kejar,1,0,1
setor,1,0,1
surati,1,0,1
pribadi,1,0,1
kaget,1,0,1
saran,0,1,1
jurus,0,1,1
boneka,1,0,1
airlangga,1,0,1
bangsaat,1,0,1
bangeeet,1,0,1
sponsor,1,0,1
laknatuallah,1,0,1
ngejagong,1,0,1
bae,1,0,1
drpd,1,0,1
menggenaskan,1,0,1
aji,1,0,1
sejati,0,1,1
gelintir,0,1,1
sorot,0,1,1
kesel,1,0,1
tonton,1,0,1
fb,1,0,1
wewenang,1,0,1
sumber,1,0,1
prinsip,1,0,1
umr,1,0,1
ln,1,0,1
alhamdulillah,1,0,1
kalsel,1,0,1
menang,1,0,1
segan,1,0,1
sempat,1,0,1
ribut,1,0,1
kondusif,1,0,1
sosiologis,1,0,1
masif,1,0,1
penjuru,1,0,1
kampus,1,0,1
gabaca,0,1,1
ake,0,1,1
kek,0,1,1
ntar,0,1,1
malu,0,1,1
s,0,1,1
still,0,1,1
jilid,1,0,1
ii,1,0,1
anying,1,0,1
atuh,1,0,1
teh,1,0,1
ah,1,0,1
tekendali,1,0,1
se,0,1,1
pergi,0,1,1
hashtagnya,0,1,1
buzzerp,1,0,1
influencerp,1,0,1
gratis,1,0,1
laksana,0,1,1
industry,1,0,1
enak,1,0,1
duit,0,1,1
latin,0,1,1
makna,0,1,1
didik,0,1,1
budaya,0,1,1
agraria,0,1,1
relatif,0,1,1
taraf,0,1,1
repot,0,1,1
ngurusin,0,1,1
pergola,1,0,1
wilayah,1,0,1
balas,1,0,1
bandung,1,0,1
oktober,1,0,1
sate,1,0,1
untun,1,0,1
sindir,1,0,1
kung,1,0,1
baperan,1,0,1
nyaman,1,0,1
terdak,1,0,1
apatis,1,0,1
bajing,1,0,1
fadli,1,0,1
tnaya,1,0,1
statemenya,1,0,1
g,1,0,1
bonus,1,0,1
demografi,1,0,1
jawabanya,1,0,1
youtubenya,1,0,1
jatuh,1,0,1
kabar,1,0,1
merespon,1,0,1
represif,1,0,1
islam,1,0,1
pandang,1,0,1
mikir,1,0,1
nyinyir,1,0,1
nyalahin,0,1,1
teliti,0,1,1
kolom,0,1,1
comment,0,1,1
sejelasxnya,0,1,1
ngehe,0,1,1
kembali,1,0,1
kecoh,1,0,1
tt,1,0,1
barusan,1,0,1
kamar,1,0,1
denger,1,0,1
makku,1,0,1
tipi,1,0,1
artis,1,0,1
wawancara,1,0,1
sumpa,1,0,1
goblo,1,0,1
sape,1,0,1
anjg,1,0,1
bijaksana,1,0,1
matana,1,0,1
yangfun,1,0,1
aq,1,0,1
emosy,1,0,1
tong,1,0,1
mangkas,0,1,1
ijin,0,1,1
rusakin,1,0,1
cikeas,1,0,1
bandar,1,0,1
kembang,1,0,1
liar,1,0,1
ahy,1,0,1
buah,1,0,1
rudi,1,0,1
kamri,1,0,1
kberadaan,1,0,1
mnyengsarakan,1,0,1
tntu,1,0,1
bhkan,1,0,1
kalah,1,0,1
brsampaing,1,0,1
shingga,1,0,1
trsedia,1,0,1
krja,1,0,1
mncapai,1,0,1
jago,1,0,1
gaada,1,0,1
ngerusak,1,0,1
sakit,1,0,1
duka,1,0,1
pulang,1,0,1
rahmatulloh,1,0,1
bner,1,0,1
kta,1,0,1
dapet,1,0,1
kualitas,1,0,1
gambling,1,0,1
nyoba,1,0,1
botol,1,0,1
botak,1,0,1
tolol,1,0,1
ngak,1,0,1
lansung,1,0,1
nguntungin,1,0,1
bangkrut,0,1,1
aseng,1,0,1
mending,1,0,1
fokus,1,0,1
entertain,1,0,1
nyemplung,1,0,1
nambah,1,0,1
keruh,1,0,1
batin,1,0,1
suasana,1,0,1
adab,1,0,1
nekat,1,0,1
desta,1,0,1
jkw,1,0,1
fungsi,1,0,1
ahli,1,0,1
masing-masing,1,0,1
semena,0,1,1
mena,0,1,1
asa,0,1,1
nikmat,0,1,1
cucu,0,1,1
borjuis,1,0,1
sial,1,0,1
dandan,1,0,1
ancor,1,0,1
demokratif,1,0,1
singkat,1,0,1
kompleks,1,0,1
segara,1,0,1
publikasi,1,0,1
ketuk,1,0,1
muluk,1,0,1
sistematis,0,1,1
administrasi,0,1,1
birokrasi,0,1,1
deeeeeng,1,0,1
oke,1,0,1
gapaham,1,0,1
mbknya,1,0,1
negative,1,0,1
jempol,1,0,1
gel,1,0,1
bangga,1,0,1
amrik,1,0,1
neg,1,0,1
gegara,1,0,1
george,1,0,1
floyd,1,0,1
tewas,1,0,1
why,1,0,1
murka,1,0,1
garap,1,0,1
haru,1,0,1
kuda,1,0,1
dsn,1,0,1
demokrrat,1,0,1
suka,1,0,1
kamis,1,0,1
manusi,1,0,1
hadir,1,0,1
pngen,0,1,1
amal,0,1,1
d,0,1,1
ingsun,0,1,1
walkak,0,1,1
likuk,0,1,1
ben,0,1,1
urip,0,1,1
kira,0,1,1
ngebahas,1,0,1
diteriakin,1,0,1
dewan,1,0,1
apalgi,1,0,1
bangkee,1,0,1
suruh,0,1,1
ngajuin,0,1,1
nek,0,1,1
ra,0,1,1
ro,0,1,1
jebul,0,1,1
wes,0,1,1
jawil,0,1,1
ajuin,0,1,1
intruksi,0,1,1
om,0,1,1
llo,0,1,1
lho,0,1,1
warung,1,0,1
kopi,1,0,1
hrs,1,0,1
nutupi,1,0,1
draftnya,1,0,1
sesat,1,0,1
divalidasi,1,0,1
akademisi,1,0,1
kali,1,0,1
webinar,1,0,1
bulan,1,0,1
upah,1,0,1
dokter,0,1,1
tirta,0,1,1
cerdas,1,0,1
kecam,1,0,1
ibarat,1,0,1
gede,1,0,1
tetangga,1,0,1
nolong,1,0,1
woy,1,0,1
nyiramnya,1,0,1
comberan,1,0,1
merk,1,0,1
ramasuk,1,0,1
gelo,1,0,1
sungai,1,0,1
gunung,1,0,1
oksigen,1,0,1
ancur,1,0,1
tilik,1,0,1
mo,0,1,1
dtunggangi,0,1,1
ambisius,0,1,1
dpilkada,0,1,1
jelasin,1,0,1
kasi,1,0,1
taun,1,0,1
buktiin,1,0,1
