kamu,negatif,positif,1.0,1.0
lagi,negatif,positif,1.0,1.0
saja,negatif,positif,1.0,1.0
rancang,negatif,positif,1.0,1.0
harap,negatif,positif,1.0,1.0
bukankah,negatif,positif,1.0,1.0
kelompok,negatif,positif,1.0,1.0
demokrat,negatif,positif,1.0,1.0
sidang,negatif,positif,1.0,1.0
dpt,negatif,positif,1.0,1.0
tahun,negatif,positif,1.0,1.0
dagang,negatif,positif,1.0,1.0
terap,negatif,positif,1.0,1.0
wkwkw,negatif,positif,1.0,1.0
rame,negatif,positif,1.0,1.0
tempat,negatif,positif,1.0,1.0
gilir,negatif,positif,1.0,1.0
buruk,negatif,positif,1.0,1.0
nyai,negatif,positif,1.0,1.0
meski,negatif,positif,1.0,1.0
mulu,negatif,positif,1.0,1.0
gada,negatif,positif,1.0,1.0
lalu,negatif,positif,1.0,1.0
murni,negatif,positif,1.0,1.0
well,negatif,positif,1.0,1.0
tendensi,negatif,positif,1.0,1.0
kait,negatif,positif,1.0,1.0
gimana,negatif,positif,1.0,1.0
untuk,negatif,positif,1.0,1.0
imbang,negatif,positif,1.0,1.0
selesampai,negatif,positif,1.0,1.0
maju,negatif,positif,1.0,1.0
anak,negatif,positif,1.0,1.0
revisi,negatif,positif,1.0,1.0
nih,negatif,positif,1.0,1.0
ketenagakerjaan,negatif,positif,1.0,1.0
aktor,negatif,positif,1.0,1.0
umkm,negatif,positif,1.0,1.0
begini,negatif,positif,1.0,1.0
serah,negatif,positif,1.0,1.0
bahasa,negatif,positif,1.0,1.0
terus,positif,negatif,1.0,1.0
korban,positif,negatif,1.0,1.0
masyarakat,positif,negatif,1.0,1.0
sangat,positif,negatif,1.0,1.0
berita,positif,negatif,1.0,1.0
kes,positif,negatif,1.0,1.0
para,positif,negatif,1.0,1.0
kota,positif,negatif,1.0,1.0
bagai,positif,negatif,1.0,1.0
seperti,positif,negatif,1.0,1.0
aparat,positif,negatif,1.0,1.0
keras,positif,negatif,1.0,1.0
jabat,positif,negatif,1.0,1.0
mati,positif,negatif,1.0,1.0
demo,positif,negatif,1.0,1.0
salah,positif,negatif,1.0,1.0
pasal,negatif,positif,1.0,1.0
depan,negatif,positif,1.0,1.0
mk,negatif,positif,1.0,1.0
masuk,negatif,positif,1.0,1.0
soal,negatif,positif,1.0,1.0
akhir,negatif,positif,1.0,1.0
awal,negatif,positif,1.0,1.0
punya,negatif,positif,1.0,1.0
bilang,negatif,positif,1.0,1.0
baru,negatif,positif,1.0,1.0
jokowi,negatif,positif,1.0,1.0
perlu,positif,negatif,1.0,1.0
bakar,positif,negatif,1.0,1.0
hukum,positif,negatif,1.0,1.0
cipta,positif,negatif,1.0,1.0
percaya,positif,negatif,1.0,1.0
buruh,positif,negatif,1.0,1.0
banyak,positif,negatif,1.0,1.0
indonesia,positif,negatif,1.0,1.0
kerja,negatif,positif,1.0,1.0
makin,negatif,positif,1.0,1.0
nolak,negatif,positif,1.0,1.0
dukung,negatif,positif,1.0,1.0
padahal,negatif,positif,1.0,1.0
lo,negatif,positif,1.0,1.0
golong,negatif,positif,1.0,1.0
gitu,negatif,positif,1.0,1.0
beri,negatif,positif,1.0,1.0
masa,negatif,positif,1.0,1.0
izin,negatif,positif,1.0,1.0
heran,negatif,positif,1.0,1.0
tengah,negatif,positif,1.0,1.0
manfaat,negatif,positif,1.0,1.0
angkat,negatif,positif,1.0,1.0
lama,negatif,positif,1.0,1.0
suara,negatif,positif,1.0,1.0
makan,negatif,positif,1.0,1.0
akan,negatif,positif,1.0,1.0
yang,positif,negatif,1.0,1.0
bela,positif,negatif,1.0,1.0
tak,positif,negatif,1.0,1.0
cabut,positif,negatif,1.0,1.0
isu,positif,negatif,1.0,1.0
bang,positif,negatif,1.0,1.0
cukong,positif,negatif,1.0,1.0
kuasa,positif,negatif,1.0,1.0
tinggal,positif,negatif,1.0,1.0
kaum,positif,negatif,1.0,1.0
warga,positif,negatif,1.0,1.0
inti,positif,negatif,1.0,1.0
cacat,positif,negatif,1.0,1.0
moga,positif,negatif,1.0,1.0
polisi,positif,negatif,1.0,1.0
khianat,positif,negatif,1.0,1.0
publik,positif,negatif,1.0,1.0
milik,positif,negatif,1.0,1.0
hasil,positif,negatif,1.0,1.0
saat,positif,negatif,1.0,1.0
sedang,positif,negatif,1.0,1.0
kecewa,positif,negatif,1.0,1.0
peduli,positif,negatif,1.0,1.0
apa,positif,negatif,1.0,1.0
fasilitas,negatif,positif,1.0,1.0
dulu,negatif,positif,1.0,1.0
rasa,negatif,positif,1.0,1.0
jalan,negatif,positif,1.0,1.0
lah,negatif,positif,1.0,1.0
laku,positif,negatif,1.0,1.0
untung,positif,negatif,1.0,1.0
negara,positif,negatif,1.0,1.0
mungkin,positif,negatif,1.0,1.0
tindak,positif,negatif,1.0,1.0
batal,positif,negatif,1.0,1.0
jadi,negatif,positif,1.0,1.0
arti,negatif,positif,1.0,1.0
ruu,positif,negatif,1.0,1.0
biar,positif,negatif,1.0,1.0
tutup,positif,negatif,1.0,1.0
loh,negatif,positif,1.0,1.0
ngrugiin,negatif,positif,1.0,1.0
blm,negatif,positif,1.0,1.0
penasaran,negatif,positif,1.0,1.0
kek,negatif,positif,1.0,1.0
muluk,negatif,positif,1.0,1.0
kemarin,negatif,positif,1.0,1.0
wkwkwk,negatif,positif,1.0,1.0
emg,negatif,positif,1.0,1.0
latin,negatif,positif,1.0,1.0
kolom,negatif,positif,1.0,1.0
sistematis,negatif,positif,1.0,1.0
singapura,negatif,positif,1.0,1.0
atau,negatif,positif,1.0,1.0
suruh,negatif,positif,1.0,1.0
resistance,negatif,positif,1.0,1.0
slm,negatif,positif,1.0,1.0
mental,negatif,positif,1.0,1.0
dishare,negatif,positif,1.0,1.0
phk,negatif,positif,1.0,1.0
positifve,negatif,positif,1.0,1.0
dokter,negatif,positif,1.0,1.0
khusus,negatif,positif,1.0,1.0
pecat,negatif,positif,1.0,1.0
ajuin,negatif,positif,1.0,1.0
ngikut,negatif,positif,1.0,1.0
mojokin,negatif,positif,1.0,1.0
laksana,negatif,positif,1.0,1.0
agraria,negatif,positif,1.0,1.0
rumput,negatif,positif,1.0,1.0
cemas,negatif,positif,1.0,1.0
drive,negatif,positif,1.0,1.0
framingnya,negatif,positif,1.0,1.0
amal,negatif,positif,1.0,1.0
tirta,negatif,positif,1.0,1.0
akar,negatif,positif,1.0,1.0
dibully,negatif,positif,1.0,1.0
ro,negatif,positif,1.0,1.0
online,negatif,positif,1.0,1.0
indikasi,negatif,positif,1.0,1.0
proses,negatif,positif,1.0,1.0
re,negatif,positif,1.0,1.0
cari,negatif,positif,1.0,1.0
unggul,negatif,positif,1.0,1.0
positiff,negatif,positif,1.0,1.0
dprdnya,negatif,positif,1.0,1.0
sy,negatif,positif,1.0,1.0
rejekinya,negatif,positif,1.0,1.0
ngurus,negatif,positif,1.0,1.0
ngurusin,negatif,positif,1.0,1.0
potong,negatif,positif,1.0,1.0
akses,negatif,positif,1.0,1.0
single,negatif,positif,1.0,1.0
asal,negatif,positif,1.0,1.0
video,negatif,positif,1.0,1.0
ma,negatif,positif,1.0,1.0
impor,negatif,positif,1.0,1.0
benci,negatif,positif,1.0,1.0
larang,negatif,positif,1.0,1.0
teliti,negatif,positif,1.0,1.0
kak,negatif,positif,1.0,1.0
google,negatif,positif,1.0,1.0
ol,negatif,positif,1.0,1.0
dibayang,negatif,positif,1.0,1.0
pers,negatif,positif,1.0,1.0
mo,negatif,positif,1.0,1.0
iya,negatif,positif,1.0,1.0
banner,negatif,positif,1.0,1.0
dak,negatif,positif,1.0,1.0
urip,negatif,positif,1.0,1.0
gelintir,negatif,positif,1.0,1.0
ben,negatif,positif,1.0,1.0
outsourcing,negatif,positif,1.0,1.0
sungguh,negatif,positif,1.0,1.0
dokumen,negatif,positif,1.0,1.0
jabar,negatif,positif,1.0,1.0
surat,negatif,positif,1.0,1.0
llo,negatif,positif,1.0,1.0
lho,negatif,positif,1.0,1.0
pesimis,negatif,positif,1.0,1.0
adalah,negatif,positif,1.0,1.0
informasi,negatif,positif,1.0,1.0
covid,negatif,positif,1.0,1.0
donk,negatif,positif,1.0,1.0
setinggi,negatif,positif,1.0,1.0
analisa,negatif,positif,1.0,1.0
indo,negatif,positif,1.0,1.0
melek,negatif,positif,1.0,1.0
tertib,negatif,positif,1.0,1.0
ngajuin,negatif,positif,1.0,1.0
still,negatif,positif,1.0,1.0
insting,negatif,positif,1.0,1.0
kayak,negatif,positif,1.0,1.0
nemu,negatif,positif,1.0,1.0
plis,negatif,positif,1.0,1.0
lamar,negatif,positif,1.0,1.0
ngetik,negatif,positif,1.0,1.0
tuding,negatif,positif,1.0,1.0
politikus,negatif,positif,1.0,1.0
sejelasxnya,negatif,positif,1.0,1.0
th,negatif,positif,1.0,1.0
ketika,negatif,positif,1.0,1.0
maki,negatif,positif,1.0,1.0
resume,negatif,positif,1.0,1.0
y,negatif,positif,1.0,1.0
wes,negatif,positif,1.0,1.0
mena,negatif,positif,1.0,1.0
comment,negatif,positif,1.0,1.0
mahfud,negatif,positif,1.0,1.0
ijin,negatif,positif,1.0,1.0
saran,negatif,positif,1.0,1.0
lahir,negatif,positif,1.0,1.0
cita,negatif,positif,1.0,1.0
syalalala,negatif,positif,1.0,1.0
malu,negatif,positif,1.0,1.0
pion,negatif,positif,1.0,1.0
rubah,negatif,positif,1.0,1.0
ra,negatif,positif,1.0,1.0
dtunggangi,negatif,positif,1.0,1.0
ngetiknya,negatif,positif,1.0,1.0
pergi,negatif,positif,1.0,1.0
diyeyeyein,negatif,positif,1.0,1.0
submission,negatif,positif,1.0,1.0
thanks,negatif,positif,1.0,1.0
pandemi,negatif,positif,1.0,1.0
bpk,negatif,positif,1.0,1.0
halte,negatif,positif,1.0,1.0
makna,negatif,positif,1.0,1.0
kenapa,negatif,positif,1.0,1.0
ngmg,negatif,positif,1.0,1.0
mantan,negatif,positif,1.0,1.0
sorot,negatif,positif,1.0,1.0
salut,negatif,positif,1.0,1.0
ambisius,negatif,positif,1.0,1.0
se,negatif,positif,1.0,1.0
konferensi,negatif,positif,1.0,1.0
sejati,negatif,positif,1.0,1.0
trending,negatif,positif,1.0,1.0
sejahtera,negatif,positif,1.0,1.0
lengkap,negatif,positif,1.0,1.0
cucu,negatif,positif,1.0,1.0
birokrasi,negatif,positif,1.0,1.0
ngehe,negatif,positif,1.0,1.0
om,negatif,positif,1.0,1.0
ake,negatif,positif,1.0,1.0
otoriter,negatif,positif,1.0,1.0
administrasi,negatif,positif,1.0,1.0
rau,negatif,positif,1.0,1.0
mangkas,negatif,positif,1.0,1.0
hasut,negatif,positif,1.0,1.0
mba,negatif,positif,1.0,1.0
ledik,negatif,positif,1.0,1.0
kuhp,negatif,positif,1.0,1.0
didik,negatif,positif,1.0,1.0
tebar,negatif,positif,1.0,1.0
luas,negatif,positif,1.0,1.0
repot,negatif,positif,1.0,1.0
share,negatif,positif,1.0,1.0
halaman,negatif,positif,1.0,1.0
tinggi,negatif,positif,1.0,1.0
sukses,negatif,positif,1.0,1.0
adik,negatif,positif,1.0,1.0
masing,negatif,positif,1.0,1.0
md,negatif,positif,1.0,1.0
rekayasa,negatif,positif,1.0,1.0
detilnya,negatif,positif,1.0,1.0
perijinan,negatif,positif,1.0,1.0
tuntas,negatif,positif,1.0,1.0
giring,negatif,positif,1.0,1.0
solanya,negatif,positif,1.0,1.0
tai,negatif,positif,1.0,1.0
tiba,negatif,positif,1.0,1.0
kelar,negatif,positif,1.0,1.0
karyawannya,negatif,positif,1.0,1.0
skip,negatif,positif,1.0,1.0
hashtagnya,negatif,positif,1.0,1.0
dalang,negatif,positif,1.0,1.0
bgst,negatif,positif,1.0,1.0
elahhhhh,negatif,positif,1.0,1.0
oposisi,negatif,positif,1.0,1.0
info,negatif,positif,1.0,1.0
asa,negatif,positif,1.0,1.0
duit,negatif,positif,1.0,1.0
alas,negatif,positif,1.0,1.0
kesalahpahaman,negatif,positif,1.0,1.0
muncul,negatif,positif,1.0,1.0
dapat,negatif,positif,1.0,1.0
pintu,negatif,positif,1.0,1.0
kalimat,negatif,positif,1.0,1.0
berbulan,negatif,positif,1.0,1.0
nyalahin,negatif,positif,1.0,1.0
bangkrut,negatif,positif,1.0,1.0
tanggung,negatif,positif,1.0,1.0
intruksi,negatif,positif,1.0,1.0
bara,negatif,positif,1.0,1.0
damai,negatif,positif,1.0,1.0
tribunnews,negatif,positif,1.0,1.0
ntar,negatif,positif,1.0,1.0
walkak,negatif,positif,1.0,1.0
kurespon,negatif,positif,1.0,1.0
anarkhis,negatif,positif,1.0,1.0
nek,negatif,positif,1.0,1.0
pngen,negatif,positif,1.0,1.0
udh,negatif,positif,1.0,1.0
s,negatif,positif,1.0,1.0
mah,negatif,positif,1.0,1.0
mprof,negatif,positif,1.0,1.0
medis,negatif,positif,1.0,1.0
emng,negatif,positif,1.0,1.0
ketidakadilan,negatif,positif,1.0,1.0
bkn,negatif,positif,1.0,1.0
kira,negatif,positif,1.0,1.0
jebul,negatif,positif,1.0,1.0
please,negatif,positif,1.0,1.0
budaya,negatif,positif,1.0,1.0
makmur,negatif,positif,1.0,1.0
ternaman,negatif,positif,1.0,1.0
bebas,negatif,positif,1.0,1.0
amat,negatif,positif,1.0,1.0
dah,negatif,positif,1.0,1.0
kendala,negatif,positif,1.0,1.0
mainstream,negatif,positif,1.0,1.0
sepi,negatif,positif,1.0,1.0
kau,negatif,positif,1.0,1.0
jurus,negatif,positif,1.0,1.0
oss,negatif,positif,1.0,1.0
kecil,negatif,positif,1.0,1.0
and,negatif,positif,1.0,1.0
semena,negatif,positif,1.0,1.0
gabaca,negatif,positif,1.0,1.0
taraf,negatif,positif,1.0,1.0
pernah,negatif,positif,1.0,1.0
ahlaq,negatif,positif,1.0,1.0
jujur,negatif,positif,1.0,1.0
lewat,negatif,positif,1.0,1.0
relatif,negatif,positif,1.0,1.0
nikmat,negatif,positif,1.0,1.0
undang,negatif,positif,1.0,1.0
respect,negatif,positif,1.0,1.0
endingnya,negatif,positif,1.0,1.0
kapitalis,negatif,positif,1.0,1.0
pasti,negatif,positif,1.0,1.0
monggo,negatif,positif,1.0,1.0
parpolnya,negatif,positif,1.0,1.0
rezeki,negatif,positif,1.0,1.0
d,negatif,positif,1.0,1.0
beda,negatif,positif,1.0,1.0
besok,negatif,positif,1.0,1.0
dpilkada,negatif,positif,1.0,1.0
likuk,negatif,positif,1.0,1.0
bidang,negatif,positif,1.0,1.0
jawil,negatif,positif,1.0,1.0
minta,negatif,positif,1.0,1.0
pemprov,negatif,positif,1.0,1.0
ingsun,negatif,positif,1.0,1.0
lebih,negatif,positif,1.0,1.0
perintah,negatif,positif,1.0,1.0
tau,positif,negatif,1.0,1.0
kok,positif,negatif,1.0,1.0
masalah,positif,negatif,1.0,1.0
kasih,negatif,positif,1.0,1.0
gue,negatif,positif,1.0,1.0
tentang,negatif,positif,1.0,1.0
otak,negatif,positif,1.0,1.0
jauh,negatif,positif,1.0,1.0
lapang,negatif,positif,1.0,1.0
kaya,negatif,positif,1.0,1.0
hal,negatif,positif,1.0,1.0
tuh,negatif,positif,1.0,1.0
sikap,negatif,positif,1.0,1.0
poin,negatif,positif,1.0,1.0
sadar,negatif,positif,1.0,1.0
aman,negatif,positif,1.0,1.0
ayo,negatif,positif,1.0,1.0
niat,negatif,positif,1.0,1.0
usul,positif,negatif,1.0,1.0
dengar,positif,negatif,1.0,1.0
lg,positif,negatif,1.0,1.0
bung,positif,negatif,1.0,1.0
asing,positif,negatif,1.0,1.0
parah,positif,negatif,1.0,1.0
pademi,positif,negatif,1.0,1.0
dunia,positif,negatif,1.0,1.0
juga,positif,negatif,1.0,1.0
nurani,positif,negatif,1.0,1.0
