author_id,created_at,id,source,text
102913249,2020-10-07T12,1313825416885366784,Twitter for Android, kontra sama aksi penolakan omnibus law
1113040243643494400,2020-10-07T12,1313825409386139648,Twitter for iPhone,"tanpa mendiskreditkan org2 yg melawan omnibus law, tolong bgt terutama mahasiswa jangan cuman ikut ikutan aja apalagi sampe ga ngevalue kerjaan yg lain. WE STILL GOT MOUTH TO FEED AND CORONA CMON U CAN BALANCE THREE OF THEM ATLEAST????? otaknya dipake bos"
1142677321238761472,2020-10-07T12,1313825400154251266,Twitter for iPhone,"Lucu lagi nih ya, di ig nya dprlive ada yg salah server "
1127343561291079680,2020-10-07T12,1313825390733922305,Twitter for Android, mas ayo mas bujuk bapak jangan sahkan omnibus law. Tanggung jawab bapak gede di akhirat mas. Umar bin khatab saja ga rela liat 1 rakyatnya menderita. Mas mau bapak nanggung kesengsaraan 250 juta lebih penduduk indonesia?
1184660291000229888,2020-10-07T12,1313825380357210114,Twitter for Android,Hati2 hoax terkait RUU Cipta Kerja
233906425,2020-10-07T12,1313825374191513602,Twitter for iPhone, Omnibus Law is actually not that bad.
1225432911899324419,2020-10-07T12,1313825351622033408,Twitter Web App,"Iwan Fals Ngetwit Demo Omnibus Law, Warganet"
1190801329653862402,2020-10-07T12,1313825337373986817,Twitter for Android,"Nggak sakit kagak apapa cuma gas air mata sama satu bogem aja,Lebih sakit lagi kalo omnibus law belum dicabut. "
1267737374827544576,2020-10-07T12,1313825315018305538,Twitter for iPad,undang-undang omnibuslaw bakal membocorkan pelan order terakhir bertepatan bertambahnya pendanaan nan masuk.
1286631494924922880,2020-10-07T12,1313825304956157952,Twitter for Android,LANJUTKAN PERBUCINANNYA TEMANQ 
1071647950181294080,2020-10-07T12,1313825299822333954,Twitter for Android,Ribuan pasal di omnibus law tapi yg di permasalahan hanya tenaga kerja padahal banyak lagi pasal yg merugikan negara dan bangsa serta rakyat Indonesia.
1263322030453096449,2020-10-07T12,1313825281501589505,Twitter for Android," Koq tega sekali pak? Semakin penasaran saya, pasti ada sesuatu kenapa OmnibusLaw ini begitu cepat disahkan dan sekarang PP nya. Sama seperti Revisi UU KPK begitu cepatnya, dan terbukti tidak sesuai dgn janji manisnya untuk perkuat KPK."
233625355,2020-10-07T12,1313825277303115776,Twitter for Android,"Ada org bikin syatus wa dukung ruu omnibus law karena ruu nya ditolak PKS ha ha epik. dia menjadikan penolakan pks pd sesuatu sbg bukti klo sesuagu itu benar. logika yg sama, jk ada statmen / publik figur diserang buzzer artinya statmen/publim fogur itu sdh di jalan yg benar"
1309332727972339713,2020-10-07T12,1313825274627145734,Twitter for Android,"Larang Demo Omnibuslaw, Polri Himbau Pendemo Tidak Menambah Klaster Penyebaran Covid-19 "
1210797425708781574,2020-10-07T12,1313825246466596864,Twitter for Android,Malu sama investor asing yg lebih peduli sama negara kita Sedang pemerintah hanya memikirkan keuntungan semata rakyat di cekik lingkungan rusak
199674964,2020-10-07T12,1313825245107646464,Twitter Web App, ini mahasiswa tau gak apa yg mau di demo??? Pelajari dulu isi draft omnibuslaw yg sah nya. Jgn tau nya baca draft dari medsos. Mau sekalian nantangin corona ????
1252527571838754825,2020-10-07T12,1313825222701637632,Twitter for Android,PROSES HUKUM KE MK ATAU PROSES POLITIK AGAR PRESIDEN TERBITKAN PERPPU ? [Catatan Hukum Perlawanan Terhadap UU Omnibus Law Cipta Kerja] Oleh
1240261358219702273,2020-10-07T12,1313825187083644929,Twitter for iPhone,"Depan gedung DPRD KAB PURWAKA A mulai rusuh,anak STM bantu kakak\u00b2 buruh demo. This is people power in Indonesia, reject Omnibus Law. Location, at Purwakarta,West Java Indonesia. "
1167464014491701248,2020-10-07T12,1313825185510772736,Twitter for Android," Mohon maaf, kak udh membahas ttg omnibus law sejak bulan Februari dan dia juga bilang \keterbatasan ilmu saya membuat saya lebih lama untuk mempelajari isu ini\ . Btw, sekarang dia lgi koas pasti sibuk bgt  "
795886210807803904,2020-10-07T12,1313825173301129216,Twitter for Android,"ga berani ikutan koar2 tentang omnibus law, karena otak masih kurang informasi akurat masi banyak yg simpang siur, drpd koar2 tapi ditanyain \hah gimana emg? aku cuma ikutan aja\ hahahaha thank u"
1131026310610817024,2020-10-07T12,1313825172755935235,Twitter Web App,Seperti halnya pada akun populer dan cuitan populer akun terlihat menjadi akun yang paling banyak ditandai oleh warganet. Sedangkan pada Top Words juga menemukan tagar lain pada topik Omnibus Law dengan muatan narasi yang sama.
1262607622047318017,2020-10-07T12,1313825167097774081,Twitter for Android,"Kau tau apa yang terpikirkan di benakku? Bagaimana kalau kita duduki gedung-gedung DPR dan DPRD setiap kota? Dirikan camp-camp di depan gedung DPRD di kota mu, satu tuntutan cabut Omnibus Law atau terbitkan Perppu."
1109317640181276678,2020-10-07T12,1313825140048687109,Twitter for Android, Najesss sok berkuasa 
1297156358546939905,2020-10-07T12,1313825128023683072,Twitter for Android, OMNIBUS LAW DAN BAHAYA YANG HARUS DIHILANGKAN (MEMAHAMI HADITS TENTANG DHARAR)
1288993810043658240,2020-10-07T12,1313825074567233536,Twitter for Android,ak mw jdie sugar baby ny para d3p33r trus mnta mreka buat btalin omnibus law
1010106906436820993,2020-10-07T12,1313825071052451841,Twitter for Android, bgst 
135795460,2020-10-07T12,1313825061263085568,Echobox,"Sejumlah tren positif ditorehkan di market hari ini. Selain Indeks Harga Saham Gabungan (IHSG) dan rupiah yang hijau, harga emas hari ini juga mengkilap. "
1079158604421189632,2020-10-07T12,1313825042778615809,Twitter for iPhone, hhhhh ayolah dpr plis batalin omnibus law biar kita juga bisa tenang dan naikin ht concept trailer
636151239,2020-10-07T12,1313825009433935872,Twitter for Android," Gak sama sekali ada argumen, tunjukin coba yang mana argumenku, aku cuma bilang, mau ku wa gak itu omnibus law, kau aja yang jawabnya kesana kemari"
1266538874953588736,2020-10-07T12,1313825001959645185,Twitter for Android,Kakak Mahasiswa yang gw tunggu untuk \SpeakUp\ Dalam UU OMNIBUSLAW CIPTA KERJA Jangan lupa Drop ht !!
997757319801794560,2020-10-07T12,1313825001129177089,Twitter for Android,Setelah nonton wawancara menteri ketenagakerjaan oleh jelas sudah tentang Nanti ditambah lagi oleh 
1691248597,2020-10-07T12,1313824997656256512,Twitter for iPad,UU Omnibuslaw bkl membuka lapangan pekerjaan ru seirng brtambahnya investasi yg masuk.
88385734,2020-10-07T12,1313824940227919872,Twitter for Android, Menolak omnibus law
1303546721121624064,2020-10-07T12,1313824935001776134,Twitter for Android, tolak omnibus law
969408643,2020-10-07T12,1313824934586535936,Twitter for Android,UUD Omnibuslaw? UUD? Really?
1244297196620500994,2020-10-07T12,1313824929129754625,Twitter Web App,"disaat demo tolak omnibus law, temen gue malah bikin sg kyk gini, kan asyuu. "
1130718542012211200,2020-10-07T12,1313824917163368449,Twitter Web App,OMNIBUS LAW SEBUAH PEDANG TAJAM !!! TAPI KALAU HANYA BUAT NGUPAS MANGGA ...
1223181578144059392,2020-10-07T12,1313824907986231297,Twitter for Android, Alhamdullilah karma is real 
58880688,2020-10-07T12,1313824907701100544,dlvr.it,"Jika Omnibus Law Merugikan, Buruh Minta Perlindungan kepada Pemkab Tasikmalaya "
